Time,Pair,Side,Price,Executed,Amount,Fee
2026-02-07 17:46:23,XRPUSDC,SELL,1.41,26.8XRP,37.788USDC,0.037788USDC
2026-02-07 08:16:13,ETHUSDC,BUY,2070.1,2.8262ETH,5850.51662USDC,0.0028262ETH
2026-02-07 05:53:05,ETHUSDC,SELL,2082,2.8129ETH,5856.4578USDC,5.8564578USDC
2026-02-07 02:00:34,ETHUSDC,BUY,2056,0.3167ETH,651.1352USDC,0.0003167ETH
2026-02-07 01:09:07,ETHUSDC,BUY,2068.5,2.2346ETH,4622.2701USDC,0.0022346ETH
2026-02-07 01:09:07,ETHUSDC,BUY,2068.5,0.2645ETH,547.11825USDC,0.0002645ETH
2026-02-06 22:34:00,AAVEUSDC,SELL,114.5,0.791AAVE,90.5695USDC,0.00010284BNB
2026-02-06 22:34:00,AAVEUSDC,SELL,114.5,0.184AAVE,21.068USDC,0.00002391BNB
2026-02-06 22:33:59,ETHUSDC,SELL,2060.5,1.8162ETH,3742.2801USDC,3.7422801USDC
2026-02-06 22:23:36,BNBUSDC,SELL,659,2.993BNB,1972.387USDC,1.972387USDC
2026-02-06 21:47:15,ETHUSDC,SELL,2055.6,0.0238ETH,48.92328USDC,0.00005589BNB
2026-02-06 18:30:05,ETHUSDC,BUY,2028,1.84ETH,3731.52USDC,0.00425531BNB
2026-02-06 18:17:18,BNBUSDC,BUY,655,3BNB,1965USDC,0.00225BNB
2026-01-19 10:22:45,PEPEUSDC,SELL,0.00000521,121832850PEPE,634.7491485USDC,0.63474915USDC
2026-01-14 00:26:46,PEPEUSDC,BUY,0.00000649,30816640PEPE,199.9999936USDC,30816.64PEPE
2026-01-06 19:53:33,XRPUSDC,SELL,2.24,419.8XRP,940.352USDC,0.940352USDC
2026-01-05 20:35:25,XRPUSDC,BUY,2.2364,447.1XRP,999.89444USDC,0.424745XRP
2025-10-16 22:37:34,ETHUSDC,SELL,3850,0.4ETH,1540USDC,1.54USDC
2025-10-16 22:37:34,ETHUSDC,SELL,3850,0.0725ETH,279.125USDC,0.279125USDC
2025-10-10 23:21:09,ETHUSDC,SELL,3589.96,0.4723ETH,1695.538108USDC,1.6107612USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,149.59,0.286AAVE,42.78274USDC,0.0406436USDC
2025-10-10 23:19:12,AAVEUSDC,SELL,148.5,0.286AAVE,42.471USDC,0.04034745USDC
